AKJV
American King James Version
Genesis 1:1	In the beginning God created the heaven and the earth.
1 Chronicles 24:12	The eleventh to Eliashib, the twelfth to Jakim,
1 Chronicles 24:13	The thirteenth to Huppah, the fourteenth to Jeshebeab,
1 Chronicles 24:14	The fifteenth to Bilgah, the sixteenth to Immer,
1 Chronicles 24:15	The seventeenth to Hezir, the eighteenth to Aphses,
1 Chronicles 24:16	The nineteenth to Pethahiah, the twentieth to Jehezekel,
1 Chronicles 24:17	The one and twentieth to Jachin, the two and twentieth to Gamul,
1 Chronicles 24:18	The three and twentieth to Delaiah, the four and twentieth to Maaziah.
1 Chronicles 24:19	These were the orderings of them in their service to come into the house of the LORD, according to their manner, under Aaron their father, as the LORD God of Israel had commanded him.
1 Chronicles 24:20	And the rest of the sons of Levi were these: Of the sons of Amram; Shubael: of the sons of Shubael; Jehdeiah.
1 Chronicles 24:21	Concerning Rehabiah: of the sons of Rehabiah, the first was Isshiah.
1 Chronicles 24:22	Of the Izharites; Shelomoth: of the sons of Shelomoth; Jahath.
1 Chronicles 24:23	And the sons of Hebron; Jeriah the first, Amariah the second, Jahaziel the third, Jekameam the fourth.
1 Chronicles 24:24	Of the sons of Uzziel; Michah: of the sons of Michah; Shamir.
1 Chronicles 24:25	The brother of Michah was Isshiah: of the sons of Isshiah; Zechariah.
1 Chronicles 24:26	The sons of Merari were Mahli and Mushi: the sons of Jaaziah; Beno.
1 Chronicles 24:27	The sons of Merari by Jaaziah; Beno, and Shoham, and Zaccur, and Ibri.
1 Chronicles 24:28	Of Mahli came Eleazar, who had no sons.
1 Chronicles 24:29	Concerning Kish: the son of Kish was Jerahmeel.
1 Chronicles 24:30	The sons also of Mushi; Mahli, and Eder, and Jerimoth. These were the sons of the Levites after the house of their fathers.
1 Chronicles 24:31	These likewise cast lots over against their brothers the sons of Aaron in the presence of David the king, and Zadok, and Ahimelech, and the chief of the fathers of the priests and Levites, even the principal fathers over against their younger brothers.
1 Chronicles 25:1	Moreover David and the captains of the host separated to the service of the sons of Asaph, and of Heman, and of Jeduthun, who should prophesy with harps, with psalteries, and with cymbals: and the number of the workmen according to their service was:
1 Chronicles 25:2	Of the sons of Asaph; Zaccur, and Joseph, and Nethaniah, and Asarelah, the sons of Asaph under the hands of Asaph, which prophesied according to the order of the king.
1 Chronicles 25:3	Of Jeduthun: the sons of Jeduthun; Gedaliah, and Zeri, and Jeshaiah, Hashabiah, and Mattithiah, six, under the hands of their father Jeduthun, who prophesied with a harp, to give thanks and to praise the LORD.
1 Chronicles 25:4	Of Heman: the sons of Heman: Bukkiah, Mattaniah, Uzziel, Shebuel, and Jerimoth, Hananiah, Hanani, Eliathah, Giddalti, and Romamtiezer, Joshbekashah, Mallothi, Hothir, and Mahazioth:
1 Chronicles 25:5	All these were the sons of Heman the king’s seer in the words of God, to lift up the horn. And God gave to Heman fourteen sons and three daughters.
1 Chronicles 25:6	All these were under the hands of their father for song in the house of the LORD, with cymbals, psalteries, and harps, for the service of the house of God, according to the king’s order to Asaph, Jeduthun, and Heman.
1 Chronicles 25:7	So the number of them, with their brothers that were instructed in the songs of the LORD, even all that were cunning, was two hundred fourscore and eight.
1 Chronicles 25:8	And they cast lots, ward against ward, as well the small as the great, the teacher as the scholar.
1 Chronicles 25:9	Now the first lot came forth for Asaph to Joseph: the second to Gedaliah, who with his brothers and sons were twelve:
1 Chronicles 25:10	The third to Zaccur, he, his sons, and his brothers, were twelve:
1 Chronicles 25:11	The fourth to Izri, he, his sons, and his brothers, were twelve:
1 Chronicles 25:12	The fifth to Nethaniah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:13	The sixth to Bukkiah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:14	The seventh to Jesharelah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:15	The eighth to Jeshaiah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:16	The ninth to Mattaniah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:17	The tenth to Shimei, he, his sons, and his brothers, were twelve:
1 Chronicles 25:18	The eleventh to Azareel, he, his sons, and his brothers, were twelve:
1 Chronicles 25:19	The twelfth to Hashabiah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:20	The thirteenth to Shubael, he, his sons, and his brothers, were twelve:
1 Chronicles 25:21	The fourteenth to Mattithiah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:22	The fifteenth to Jeremoth, he, his sons, and his brothers, were twelve:
1 Chronicles 25:23	The sixteenth to Hananiah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:24	The seventeenth to Joshbekashah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:25	The eighteenth to Hanani, he, his sons, and his brothers, were twelve:
1 Chronicles 25:26	The nineteenth to Mallothi, he, his sons, and his brothers, were twelve:
1 Chronicles 25:27	The twentieth to Eliathah, he, his sons, and his brothers, were twelve:
1 Chronicles 25:28	The one and twentieth to Hothir, he, his sons, and his brothers, were twelve:
1 Chronicles 25:29	The two and twentieth to Giddalti, he, his sons, and his brothers, were twelve:
1 Chronicles 25:30	The three and twentieth to Mahazioth, he, his sons, and his brothers, were twelve:
1 Chronicles 25:31	The four and twentieth to Romamtiezer, he, his sons, and his brothers, were twelve.
1 Chronicles 26:1	Concerning the divisions of the porters: Of the Korhites was Meshelemiah the son of Kore, of the sons of Asaph.
1 Chronicles 26:2	And the sons of Meshelemiah were, Zechariah the firstborn, Jediael the second, Zebadiah the third, Jathniel the fourth,
1 Chronicles 26:3	Elam the fifth, Jehohanan the sixth, Elioenai the seventh.
1 Chronicles 26:4	Moreover the sons of Obededom were, Shemaiah the firstborn, Jehozabad the second, Joah the third, and Sacar the fourth, and Nethaneel the fifth.
1 Chronicles 26:5	Ammiel the sixth, Issachar the seventh, Peulthai the eighth: for God blessed him.
1 Chronicles 26:6	Also to Shemaiah his son were sons born, that ruled throughout the house of their father: for they were mighty men of valor.
1 Chronicles 26:7	The sons of Shemaiah; Othni, and Rephael, and Obed, Elzabad, whose brothers were strong men, Elihu, and Semachiah.
1 Chronicles 26:8	All these of the sons of Obededom: they and their sons and their brothers, able men for strength for the service, were three score and two of Obededom.
1 Chronicles 26:9	And Meshelemiah had sons and brothers, strong men, eighteen.
1 Chronicles 26:10	Also Hosah, of the children of Merari, had sons; Simri the chief, (for though he was not the firstborn, yet his father made him the chief;)
1 Chronicles 26:11	Hilkiah the second, Tebaliah the third, Zechariah the fourth: all the sons and brothers of Hosah were thirteen.
1 Chronicles 26:12	Among these were the divisions of the porters, even among the chief men, having wards one against another, to minister in the house of the LORD.
1 Chronicles 26:13	And they cast lots, as well the small as the great, according to the house of their fathers, for every gate.
1 Chronicles 26:14	And the lot eastward fell to Shelemiah. Then for Zechariah his son, a wise counselor, they cast lots; and his lot came out northward.
1 Chronicles 26:15	To Obededom southward; and to his sons the house of Asuppim.
1 Chronicles 26:16	To Shuppim and Hosah the lot came forth westward, with the gate Shallecheth, by the causeway of the going up, ward against ward.
1 Chronicles 26:17	Eastward were six Levites, northward four a day, southward four a day, and toward Asuppim two and two.
1 Chronicles 26:18	At Parbar westward, four at the causeway, and two at Parbar.
1 Chronicles 26:19	These are the divisions of the porters among the sons of Kore, and among the sons of Merari.
1 Chronicles 26:20	And of the Levites, Ahijah was over the treasures of the house of God, and over the treasures of the dedicated things.
1 Chronicles 26:21	As concerning the sons of Laadan; the sons of the Gershonite Laadan, chief fathers, even of Laadan the Gershonite, were Jehieli.
1 Chronicles 26:22	The sons of Jehieli; Zetham, and Joel his brother, which were over the treasures of the house of the LORD.
1 Chronicles 26:23	Of the Amramites, and the Izharites, the Hebronites, and the Uzzielites:
1 Chronicles 26:24	And Shebuel the son of Gershom, the son of Moses, was ruler of the treasures.
1 Chronicles 26:25	And his brothers by Eliezer; Rehabiah his son, and Jeshaiah his son, and Joram his son, and Zichri his son, and Shelomith his son.
1 Chronicles 26:26	Which Shelomith and his brothers were over all the treasures of the dedicated things, which David the king, and the chief fathers, the captains over thousands and hundreds, and the captains of the host, had dedicated.
1 Chronicles 26:27	Out of the spoils won in battles did they dedicate to maintain the house of the LORD.
1 Chronicles 26:28	And all that Samuel the seer, and Saul the son of Kish, and Abner the son of Ner, and Joab the son of Zeruiah, had dedicated; and whoever had dedicated any thing, it was under the hand of Shelomith, and of his brothers.
1 Chronicles 26:29	Of the Izharites, Chenaniah and his sons were for the outward business over Israel, for officers and judges.
1 Chronicles 26:30	And of the Hebronites, Hashabiah and his brothers, men of valor, a thousand and seven hundred, were officers among them of Israel on this side Jordan westward in all the business of the LORD, and in the service of the king.
1 Chronicles 26:31	Among the Hebronites was Jerijah the chief, even among the Hebronites, according to the generations of his fathers. In the fortieth year of the reign of David they were sought for, and there were found among them mighty men of valor at Jazer of Gilead.
1 Chronicles 26:32	And his brothers, men of valor, were two thousand and seven hundred chief fathers, whom king David made rulers over the Reubenites, the Gadites, and the half tribe of Manasseh, for every matter pertaining to God, and affairs of the king.
1 Chronicles 27:1	Now the children of Israel after their number, to wit, the chief fathers and captains of thousands and hundreds, and their officers that served the king in any matter of the courses, which came in and went out month by month throughout all the months of the year, of every course were twenty and four thousand.
1 Chronicles 27:2	Over the first course for the first month was Jashobeam the son of Zabdiel: and in his course were twenty and four thousand.
1 Chronicles 27:3	Of the children of Perez was the chief of all the captains of the host for the first month.
1 Chronicles 27:4	And over the course of the second month was Dodai an Ahohite, and of his course was Mikloth also the ruler: in his course likewise were twenty and four thousand.
1 Chronicles 27:5	The third captain of the host for the third month was Benaiah the son of Jehoiada, a chief priest: and in his course were twenty and four thousand.
1 Chronicles 27:6	This is that Benaiah, who was mighty among the thirty, and above the thirty: and in his course was Ammizabad his son.
1 Chronicles 27:7	The fourth captain for the fourth month was Asahel the brother of Joab, and Zebadiah his son after him: and in his course were twenty and four thousand.
1 Chronicles 27:8	The fifth captain for the fifth month was Shamhuth the Izrahite: and in his course were twenty and four thousand.
1 Chronicles 27:9	The sixth captain for the sixth month was Ira the son of Ikkesh the Tekoite: and in his course were twenty and four thousand.
1 Chronicles 27:10	The seventh captain for the seventh month was Helez the Pelonite, of the children of Ephraim: and in his course were twenty and four thousand.
1 Chronicles 27:11	The eighth captain for the eighth month was Sibbecai the Hushathite, of the Zarhites: and in his course were twenty and four thousand.
1 Chronicles 27:12	The ninth captain for the ninth month was Abiezer the Anetothite, of the Benjamites: and in his course were twenty and four thousand.
1 Chronicles 27:13	The tenth captain for the tenth month was Maharai the Netophathite, of the Zarhites: and in his course were twenty and four thousand.
1 Chronicles 27:14	The eleventh captain for the eleventh month was Benaiah the Pirathonite, of the children of Ephraim: and in his course were twenty and four thousand.
1 Chronicles 27:15	The twelfth captain for the twelfth month was Heldai the Netophathite, of Othniel: and in his course were twenty and four thousand.
1 Chronicles 27:16	Furthermore over the tribes of Israel: the ruler of the Reubenites was Eliezer the son of Zichri: of the Simeonites, Shephatiah the son of Maachah:
1 Chronicles 27:17	Of the Levites, Hashabiah the son of Kemuel: of the Aaronites, Zadok:
1 Chronicles 27:18	Of Judah, Elihu, one of the brothers of David: of Issachar, Omri the son of Michael:
1 Chronicles 27:19	Of Zebulun, Ishmaiah the son of Obadiah: of Naphtali, Jerimoth the son of Azriel:
1 Chronicles 27:20	Of the children of Ephraim, Hoshea the son of Azaziah: of the half tribe of Manasseh, Joel the son of Pedaiah:
1 Chronicles 27:21	Of the half tribe of Manasseh in Gilead, Iddo the son of Zechariah: of Benjamin, Jaasiel the son of Abner:
1 Chronicles 27:22	Of Dan, Azareel the son of Jeroham. These were the princes of the tribes of Israel.
1 Chronicles 27:23	But David took not the number of them from twenty years old and under: because the LORD had said he would increase Israel like to the stars of the heavens.
1 Chronicles 27:24	Joab the son of Zeruiah began to number, but he finished not, because there fell wrath for it against Israel; neither was the number put in the account of the chronicles of king David.
1 Chronicles 27:25	And over the king’s treasures was Azmaveth the son of Adiel: and over the storehouses in the fields, in the cities, and in the villages, and in the castles, was Jehonathan the son of Uzziah:
1 Chronicles 27:26	And over them that did the work of the field for tillage of the ground was Ezri the son of Chelub:
1 Chronicles 27:27	And over the vineyards was Shimei the Ramathite: over the increase of the vineyards for the wine cellars was Zabdi the Shiphmite:
1 Chronicles 27:28	And over the olive trees and the sycomore trees that were in the low plains was Baalhanan the Gederite: and over the cellars of oil was Joash:
1 Chronicles 27:29	And over the herds that fed in Sharon was Shitrai the Sharonite: and over the herds that were in the valleys was Shaphat the son of Adlai:
1 Chronicles 27:30	Over the camels also was Obil the Ishmaelite: and over the asses was Jehdeiah the Meronothite:
1 Chronicles 27:31	And over the flocks was Jaziz the Hagerite. All these were the rulers of the substance which was king David’s.
1 Chronicles 27:32	Also Jonathan David’s uncle was a counselor, a wise man, and a scribe: and Jehiel the son of Hachmoni was with the king’s sons:
1 Chronicles 27:33	And Ahithophel was the king’s counselor: and Hushai the Archite was the king’s companion:
1 Chronicles 27:34	And after Ahithophel was Jehoiada the son of Benaiah, and Abiathar: and the general of the king’s army was Joab.
1 Chronicles 28:1	And David assembled all the princes of Israel, the princes of the tribes, and the captains of the companies that ministered to the king by course, and the captains over the thousands, and captains over the hundreds, and the stewards over all the substance and possession of the king, and of his sons, with the officers, and with the mighty men, and with all the valiant men, to Jerusalem.
1 Chronicles 28:2	Then David the king stood up on his feet, and said, Hear me, my brothers, and my people: As for me, I had in my heart to build an house of rest for the ark of the covenant of the LORD, and for the footstool of our God, and had made ready for the building:
1 Chronicles 28:3	But God said to me, You shall not build an house for my name, because you have been a man of war, and have shed blood.
1 Chronicles 28:4	However, the LORD God of Israel chose me before all the house of my father to be king over Israel for ever: for he has chosen Judah to be the ruler; and of the house of Judah, the house of my father; and among the sons of my father he liked me to make me king over all Israel:
1 Chronicles 28:5	And of all my sons, (for the LORD has given me many sons,) he has chosen Solomon my son to sit on the throne of the kingdom of the LORD over Israel.
1 Chronicles 28:6	And he said to me, Solomon your son, he shall build my house and my courts: for I have chosen him to be my son, and I will be his father.
1 Chronicles 28:7	Moreover I will establish his kingdom for ever, if he be constant to do my commandments and my judgments, as at this day.
1 Chronicles 28:8	Now therefore in the sight of all Israel the congregation of the LORD, and in the audience of our God, keep and seek for all the commandments of the LORD your God: that you may possess this good land, and leave it for an inheritance for your children after you for ever.
1 Chronicles 28:9	And you, Solomon my son, know you the God of your father, and serve him with a perfect heart and with a willing mind: for the LORD searches all hearts, and understands all the imaginations of the thoughts: if you seek him, he will be found of you; but if you forsake him, he will cast you off for ever.
1 Chronicles 28:10	Take heed now; for the LORD has chosen you to build an house for the sanctuary: be strong, and do it.
1 Chronicles 28:11	Then David gave to Solomon his son the pattern of the porch, and of the houses thereof, and of the treasuries thereof, and of the upper chambers thereof, and of the inner parlors thereof, and of the place of the mercy seat,
1 Chronicles 28:12	And the pattern of all that he had by the spirit, of the courts of the house of the LORD, and of all the chambers round about, of the treasuries of the house of God, and of the treasuries of the dedicated things:
1 Chronicles 28:13	Also for the courses of the priests and the Levites, and for all the work of the service of the house of the LORD, and for all the vessels of service in the house of the LORD.
1 Chronicles 28:14	He gave of gold by weight for things of gold, for all instruments of all manner of service; silver also for all instruments of silver by weight, for all instruments of every kind of service:
1 Chronicles 28:15	Even the weight for the candlesticks of gold, and for their lamps of gold, by weight for every candlestick, and for the lamps thereof: and for the candlesticks of silver by weight, both for the candlestick, and also for the lamps thereof, according to the use of every candlestick.
1 Chronicles 28:16	And by weight he gave gold for the tables of show bread, for every table; and likewise silver for the tables of silver:
1 Chronicles 28:17	Also pure gold for the meat hooks, and the bowls, and the cups: and for the golden basins he gave gold by weight for every basin; and likewise silver by weight for every basin of silver:
1 Chronicles 28:18	And for the altar of incense refined gold by weight; and gold for the pattern of the chariot of the cherubim, that spread out their wings, and covered the ark of the covenant of the LORD.
1 Chronicles 28:19	All this, said David, the LORD made me understand in writing by his hand on me, even all the works of this pattern.
1 Chronicles 28:20	And David said to Solomon his son, Be strong and of good courage, and do it: fear not, nor be dismayed: for the LORD God, even my God, will be with you; he will not fail you, nor forsake you, until you have finished all the work for the service of the house of the LORD.
1 Chronicles 28:21	And, behold, the courses of the priests and the Levites, even they shall be with you for all the service of the house of God: and there shall be with you for all manner of workmanship every willing skillful man, for any manner of service: also the princes and all the people will be wholly at your commandment.
1 Chronicles 29:1	Furthermore David the king said to all the congregation, Solomon my son, whom alone God has chosen, is yet young and tender, and the work is great: for the palace is not for man, but for the LORD God.
1 Chronicles 29:2	Now I have prepared with all my might for the house of my God the gold for things to be made of gold, and the silver for things of silver, and the brass for things of brass, the iron for things of iron, and wood for things of wood; onyx stones, and stones to be set, glistering stones, and of divers colors, and all manner of precious stones, and marble stones in abundance.
1 Chronicles 29:3	Moreover, because I have set my affection to the house of my God, I have of my own proper good, of gold and silver, which I have given to the house of my God, over and above all that I have prepared for the holy house.
1 Chronicles 29:4	Even three thousand talents of gold, of the gold of Ophir, and seven thousand talents of refined silver, to overlay the walls of the houses with:
1 Chronicles 29:5	The gold for things of gold, and the silver for things of silver, and for all manner of work to be made by the hands of artificers. And who then is willing to consecrate his service this day to the LORD?
1 Chronicles 29:6	Then the chief of the fathers and princes of the tribes of Israel and the captains of thousands and of hundreds, with the rulers of the king’s work, offered willingly,
1 Chronicles 29:7	And gave for the service of the house of God of gold five thousand talents and ten thousand drams, and of silver ten thousand talents, and of brass eighteen thousand talents, and one hundred thousand talents of iron.
1 Chronicles 29:8	And they with whom precious stones were found gave them to the treasure of the house of the LORD, by the hand of Jehiel the Gershonite.
1 Chronicles 29:9	Then the people rejoiced, for that they offered willingly, because with perfect heart they offered willingly to the LORD: and David the king also rejoiced with great joy.
1 Chronicles 29:10	Why David blessed the LORD before all the congregation: and David said, Blessed be you, LORD God of Israel our father, for ever and ever.
1 Chronicles 29:11	Yours, O LORD is the greatness, and the power, and the glory, and the victory, and the majesty: for all that is in the heaven and in the earth is yours; your is the kingdom, O LORD, and you are exalted as head above all.
1 Chronicles 29:12	Both riches and honor come of you, and you reign over all; and in your hand is power and might; and in your hand it is to make great, and to give strength to all.
1 Chronicles 29:13	Now therefore, our God, we thank you, and praise your glorious name.
1 Chronicles 29:14	But who am I, and what is my people, that we should be able to offer so willingly after this sort? for all things come of you, and of your own have we given you.
1 Chronicles 29:15	For we are strangers before you, and sojourners, as were all our fathers: our days on the earth are as a shadow, and there is none abiding.
1 Chronicles 29:16	O LORD our God, all this store that we have prepared to build you an house for your holy name comes of your hand, and is all your own.
1 Chronicles 29:17	I know also, my God, that you try the heart, and have pleasure in uprightness. As for me, in the uprightness of my heart I have willingly offered all these things: and now have I seen with joy your people, which are present here, to offer willingly to you.
1 Chronicles 29:18	O LORD God of Abraham, Isaac, and of Israel, our fathers, keep this for ever in the imagination of the thoughts of the heart of your people, and prepare their heart to you:
1 Chronicles 29:19	And give to Solomon my son a perfect heart, to keep your commandments, your testimonies, and your statutes, and to do all these things, and to build the palace, for the which I have made provision.
1 Chronicles 29:20	And David said to all the congregation, Now bless the LORD your God. And all the congregation blessed the LORD God of their fathers, and bowed down their heads, and worshipped the LORD, and the king.
1 Chronicles 29:21	And they sacrificed sacrifices to the LORD, and offered burnt offerings to the LORD, on the morrow after that day, even a thousand bullocks, a thousand rams, and a thousand lambs, with their drink offerings, and sacrifices in abundance for all Israel:
1 Chronicles 29:22	And did eat and drink before the LORD on that day with great gladness. And they made Solomon the son of David king the second time, and anointed him to the LORD to be the chief governor, and Zadok to be priest.
1 Chronicles 29:23	Then Solomon sat on the throne of the LORD as king instead of David his father, and prospered; and all Israel obeyed him.
1 Chronicles 29:24	And all the princes, and the mighty men, and all the sons likewise of king David, submitted themselves to Solomon the king.
1 Chronicles 29:25	And the LORD magnified Solomon exceedingly in the sight of all Israel, and bestowed on him such royal majesty as had not been on any king before him in Israel.
1 Chronicles 29:26	Thus David the son of Jesse reigned over all Israel.
1 Chronicles 29:27	And the time that he reigned over Israel was forty years; seven years reigned he in Hebron, and thirty and three years reigned he in Jerusalem.
1 Chronicles 29:28	And he died in a good old age, full of days, riches, and honor: and Solomon his son reigned in his stead.
1 Chronicles 29:29	Now the acts of David the king, first and last, behold, they are written in the book of Samuel the seer, and in the book of Nathan the prophet, and in the book of Gad the seer,
1 Chronicles 29:30	With all his reign and his might, and the times that went over him, and over Israel, and over all the kingdoms of the countries.
2 Chronicles 1:1	And Solomon the son of David was strengthened in his kingdom, and the LORD his God was with him, and magnified him exceedingly.
2 Chronicles 1:2	Then Solomon spoke to all Israel, to the captains of thousands and of hundreds, and to the judges, and to every governor in all Israel, the chief of the fathers.
2 Chronicles 1:3	So Solomon, and all the congregation with him, went to the high place that was at Gibeon; for there was the tabernacle of the congregation of God, which Moses the servant of the LORD had made in the wilderness.
2 Chronicles 1:4	But the ark of God had David brought up from Kirjathjearim to the place which David had prepared for it: for he had pitched a tent for it at Jerusalem.
2 Chronicles 1:5	Moreover the brazen altar, that Bezaleel the son of Uri, the son of Hur, had made, he put before the tabernacle of the LORD: and Solomon and the congregation sought to it.
2 Chronicles 1:6	And Solomon went up thither to the brazen altar before the LORD, which was at the tabernacle of the congregation, and offered a thousand burnt offerings on it.
2 Chronicles 1:7	In that night did God appear to Solomon, and said to him, Ask what I shall give you.
2 Chronicles 1:8	And Solomon said to God, You have showed great mercy to David my father, and have made me to reign in his stead.
2 Chronicles 1:9	Now, O LORD God, let your promise to David my father be established: for you have made me king over a people like the dust of the earth in multitude.
2 Chronicles 1:10	Give me now wisdom and knowledge, that I may go out and come in before this people: for who can judge this your people, that is so great?
2 Chronicles 1:11	And God said to Solomon, Because this was in your heart, and you have not asked riches, wealth, or honor, nor the life of your enemies, neither yet have asked long life; but have asked wisdom and knowledge for yourself, that you may judge my people, over whom I have made you king:
2 Chronicles 1:12	Wisdom and knowledge is granted to you; and I will give you riches, and wealth, and honor, such as none of the kings have had that have been before you, neither shall there any after you have the like.
2 Chronicles 1:13	Then Solomon came from his journey to the high place that was at Gibeon to Jerusalem, from before the tabernacle of the congregation, and reigned over Israel.
2 Chronicles 1:14	And Solomon gathered chariots and horsemen: and he had a thousand and four hundred chariots, and twelve thousand horsemen, which he placed in the chariot cities, and with the king at Jerusalem.
2 Chronicles 1:15	And the king made silver and gold at Jerusalem as plenteous as stones, and cedar trees made he as the sycomore trees that are in the vale for abundance.
2 Chronicles 1:16	And Solomon had horses brought out of Egypt, and linen yarn: the king’s merchants received the linen yarn at a price.
2 Chronicles 1:17	And they fetched up, and brought forth out of Egypt a chariot for six hundred shekels of silver, and an horse for an hundred and fifty: and so brought they out horses for all the kings of the Hittites, and for the kings of Syria, by their means.
2 Chronicles 2:1	And Solomon determined to build an house for the name of the LORD, and an house for his kingdom.
2 Chronicles 2:2	And Solomon told out three score and ten thousand men to bear burdens, and fourscore thousand to hew in the mountain, and three thousand and six hundred to oversee them.
2 Chronicles 2:3	And Solomon sent to Huram the king of Tyre, saying, As you did deal with David my father, and did send him cedars to build him an house to dwell therein, even so deal with me.
2 Chronicles 2:4	Behold, I build an house to the name of the LORD my God, to dedicate it to him, and to burn before him sweet incense, and for the continual show bread, and for the burnt offerings morning and evening, on the sabbaths, and on the new moons, and on the solemn feasts of the LORD our God. This is an ordinance for ever to Israel.
2 Chronicles 2:5	And the house which I build is great: for great is our God above all gods.
2 Chronicles 2:6	But who is able to build him an house, seeing the heaven and heaven of heavens cannot contain him? who am I then, that I should build him an house, save only to burn sacrifice before him?
2 Chronicles 2:7	Send me now therefore a man cunning to work in gold, and in silver, and in brass, and in iron, and in purple, and crimson, and blue, and that can skill to grave with the cunning men that are with me in Judah and in Jerusalem, whom David my father did provide.
2 Chronicles 2:8	Send me also cedar trees, fir trees, and algum trees, out of Lebanon: for I know that your servants can skill to cut timber in Lebanon; and, behold, my servants shall be with your servants,
2 Chronicles 2:9	Even to prepare me timber in abundance: for the house which I am about to build shall be wonderful great.
2 Chronicles 2:10	And, behold, I will give to your servants, the hewers that cut timber, twenty thousand measures of beaten wheat, and twenty thousand measures of barley, and twenty thousand baths of wine, and twenty thousand baths of oil.
2 Chronicles 2:11	Then Huram the king of Tyre answered in writing, which he sent to Solomon, Because the LORD has loved his people, he has made you king over them.
2 Chronicles 2:12	Huram said moreover, Blessed be the LORD God of Israel, that made heaven and earth, who has given to David the king a wise son, endued with prudence and understanding, that might build an house for the LORD, and an house for his kingdom.
2 Chronicles 2:13	And now I have sent a cunning man, endued with understanding, of Huram my father’s,
2 Chronicles 2:14	The son of a woman of the daughters of Dan, and his father was a man of Tyre, skillful to work in gold, and in silver, in brass, in iron, in stone, and in timber, in purple, in blue, and in fine linen, and in crimson; also to grave any manner of engraving, and to find out every device which shall be put to him, with your cunning men, and with the cunning men of my lord David your father.
2 Chronicles 2:15	Now therefore the wheat, and the barley, the oil, and the wine, which my lord has spoken of, let him send to his servants:
2 Chronicles 2:16	And we will cut wood out of Lebanon, as much as you shall need: and we will bring it to you in floats by sea to Joppa; and you shall carry it up to Jerusalem.
2 Chronicles 2:17	And Solomon numbered all the strangers that were in the land of Israel, after the numbering with which David his father had numbered them; and they were found an hundred and fifty thousand and three thousand and six hundred.
2 Chronicles 2:18	And he set three score and ten thousand of them to be bearers of burdens, and fourscore thousand to be hewers in the mountain, and three thousand and six hundred overseers to set the people a work.
2 Chronicles 3:1	Then Solomon began to build the house of the LORD at Jerusalem in mount Moriah, where the Lord appeared to David his father, in the place that David had prepared in the threshing floor of Ornan the Jebusite.
2 Chronicles 3:2	And he began to build in the second day of the second month, in the fourth year of his reign.
2 Chronicles 3:3	Now these are the things wherein Solomon was instructed for the building of the house of God. The length by cubits after the first measure was three score cubits, and the breadth twenty cubits.
2 Chronicles 3:4	And the porch that was in the front of the house, the length of it was according to the breadth of the house, twenty cubits, and the height was an hundred and twenty: and he overlaid it within with pure gold.
2 Chronicles 3:5	And the greater house he paneled with fir tree, which he overlaid with fine gold, and set thereon palm trees and chains.
2 Chronicles 3:6	And he garnished the house with precious stones for beauty: and the gold was gold of Parvaim.
2 Chronicles 3:7	He overlaid also the house, the beams, the posts, and the walls thereof, and the doors thereof, with gold; and graved cherubim on the walls.
2 Chronicles 3:8	And he made the most holy house, the length whereof was according to the breadth of the house, twenty cubits, and the breadth thereof twenty cubits: and he overlaid it with fine gold, amounting to six hundred talents.
2 Chronicles 3:9	And the weight of the nails was fifty shekels of gold. And he overlaid the upper chambers with gold.
2 Chronicles 3:10	And in the most holy house he made two cherubim of image work, and overlaid them with gold.
2 Chronicles 3:11	And the wings of the cherubim were twenty cubits long: one wing of the one cherub was five cubits, reaching to the wall of the house: and the other wing was likewise five cubits, reaching to the wing of the other cherub.
2 Chronicles 3:12	And one wing of the other cherub was five cubits, reaching to the wall of the house: and the other wing was five cubits also, joining to the wing of the other cherub.
2 Chronicles 3:13	The wings of these cherubim spread themselves forth twenty cubits: and they stood on their feet, and their faces were inward.
2 Chronicles 3:14	And he made the veil of blue, and purple, and crimson, and fine linen, and worked cherubim thereon.
2 Chronicles 3:15	Also he made before the house two pillars of thirty and five cubits high, and the capital that was on the top of each of them was five cubits.
2 Chronicles 3:16	And he made chains, as in the oracle, and put them on the heads of the pillars; and made an hundred pomegranates, and put them on the chains.
2 Chronicles 3:17	And he reared up the pillars before the temple, one on the right hand, and the other on the left; and called the name of that on the right hand Jachin, and the name of that on the left Boaz.
2 Chronicles 4:1	Moreover he made an altar of brass, twenty cubits the length thereof, and twenty cubits the breadth thereof, and ten cubits the height thereof.
2 Chronicles 4:2	Also he made a molten sea of ten cubits from brim to brim, round in compass, and five cubits the height thereof; and a line of thirty cubits did compass it round about.
2 Chronicles 4:3	And under it was the similitude of oxen, which did compass it round about: ten in a cubit, compassing the sea round about. Two rows of oxen were cast, when it was cast.
